Player_ID,SHIRT_N,PLAYER_NAME,AGE,HEIGHT,FOOT,Country,SQUAD,SQUAD_RANKING,OPPONENT,OPPONENT RANKING,M_WEEKDAY,M_MONTH,M_SEASON,YEAR,COMPETITION_N,ROUND_N,VENUE_N,STARTER,STRIKER,Penalty,Penalty_shooter,MINUTES,GOALS
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,9,Türkiye,44,5,3,1,2022,2,4,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,9,N. Macedonia,65,3,3,1,2022,2,5,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,9,Spain,10,5,6,2,2022,2,1,2,0,0,0,1,29,0
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,9,Switzerland,12,1,6,2,2022,2,1,1,1,1,0,1,90,2
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,9,Czechia,38,5,6,2,2022,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,9,Czechia,38,7,9,3,2022,2,1,2,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,9,Spain,10,3,9,3,2022,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,9,Ghana,58,5,11,3,2022,4,1,3,1,1,1,1,87,1
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,9,Uruguay,16,2,11,3,2022,4,1,3,1,1,0,1,81,0
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,9,Korea Republic,25,6,12,4,2022,4,1,3,1,1,0,1,64,0
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,9,Switzerland,12,3,12,4,2022,4,2,3,0,1,0,1,18,0
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,9,Morocco,11,7,12,4,2022,4,3,3,0,1,0,1,40,0
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,7,Liechtenstein,203,5,3,1,2023,2,1,1,1,1,1,1,77,2
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,7,Luxembourg,83,1,3,1,2023,2,1,2,1,1,0,1,63,2
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,7,Bosnia & Herz'na,69,7,6,2,2023,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,38,187,1,pt,Portugal,7,Iceland,71,3,6,2,2023,2,1,2,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,39,187,1,pt,Portugal,7,Slovakia,45,6,9,3,2023,2,1,2,1,1,0,1,90,0
