DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/25/2016,Sat,UEFA Euro,Round of 16,Neutral,W 1–0,pt Portugal,hr Croatia,Y*,FW,120,0,1,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/30/2016,Thu,UEFA Euro,Quarter-finals,Neutral,D 1 (5)–1 (3),pt Portugal,pl Poland,Y*,FW,120,0,0,0,0,5,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,7/6/2016,Wed,UEFA Euro,Semi-finals,Neutral,W 2–0,pt Portugal,wls Wales,Y*,AM,90,1,1,0,0,9,2,1,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,7/10/2016,Sun,UEFA Euro,Final,Home,W 1–0,pt Portugal,fr France,Y*,FW,24,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/7/2016,Fri,WCQ,First round,Home,W 6–0,pt Portugal,ad Andorra,Y*,FW,90,4,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/10/2016,Mon,WCQ,First round,Away,W 6–0,pt Portugal,fo Faroe Islands,Y*,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/13/2016,Sun,WCQ,First round,Home,W 4–1,pt Portugal,lv Latvia,Y*,LM,90,2,0,1,2,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/25/2017,Sat,WCQ,First round,Home,W 3–0,pt Portugal,hu Hungary,Y*,FW,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/28/2017,Tue,Friendlies (M),Friendlies (M),Home,L 2–3,pt Portugal,se Sweden,Y*,FW,57,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/9/2017,Fri,WCQ,First round,Away,W 3–0,pt Portugal,lv Latvia,Y*,FW,90,2,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/18/2017,Sun,FIFA Confederations Cup,Group stage,Neutral,D 2–2,pt Portugal,mx Mexico,Y*,FW,90,0,1,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/21/2017,Wed,FIFA Confederations Cup,Group stage,Neutral,W 1–0,pt Portugal,ru Russia,Y*,FW,90,1,0,0,0,6,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/24/2017,Sat,FIFA Confederations Cup,Group stage,Neutral,W 4–0,pt Portugal,nz New Zealand,Y*,FW,66,1,0,1,1,5,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/28/2017,Wed,FIFA Confederations Cup,Semi-finals,Neutral,D 0 (0)–0 (3),pt Portugal,cl Chile,Y*,FW,120,0,0,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,8/31/2017,Thu,WCQ,First round,Home,W 5–1,pt Portugal,fo Faroe Islands,Y*,FW,90,3,1,1,1,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/3/2017,Sun,WCQ,First round,Away,W 1–0,pt Portugal,hu Hungary,Y*,FW,90,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/7/2017,Sat,WCQ,First round,Away,W 2–0,pt Portugal,ad Andorra,N,,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/10/2017,Tue,WCQ,First round,Home,W 2–0,pt Portugal,ch Switzerland,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/23/2018,Fri,Friendlies (M),Friendlies (M),Home,W 2–1,pt Portugal,eg Egypt,Y*,FW,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/26/2018,Mon,Friendlies (M),Friendlies (M),Home,L 0–3,pt Portugal,nl Netherlands,Y*,FW,67,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/7/2018,Thu,Friendlies (M),Friendlies (M),Home,W 3–0,pt Portugal,dz Algeria,Y*,FW,73,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/15/2018,Fri,World Cup,Group stage,Neutral,D 3–3,pt Portugal,es Spain,Y*,FW,90,3,0,1,1,3,2,0,0,47,0,0,1,1,0.2,0.1,3,2,35,37,94.6,5,25,5,1,0,Match Report
